Name,Revenue,HQ Location,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air France,20661434154.0,"France, Île-de-france, Paris",France,20661.434154,,,
Corsair,1316379000.0,"France, Île-de-france, Paris",France,1316.379,,,
Air Caraïbes,797163394.0,"Guadeloupe, Guadeloupe, Les Abymes, Fwi, 97139",Guadeloupe,797.163394,,,
AIR AUSTRAL,651000745.0,"Réunion, Réunion, Sainte-marie, Réunion Sainte-marie, 97438",Réunion,651.000745,,,
Aigle Azur,394590196.0,France,France,394.590196,,,
Aircalin,373099393.0,"New Caledonia, South Province, Nouméa, 8 Rue Frédéric Surleau, 98800",New Caledonia,373.099393,,,
HOP!,349574982.0,"France, Auvergne-rhône-alpes, Clermont-ferrand",France,349.574982,,,
French Bee,267398454.0,"France, Île-de-france, Orly",France,267.398454,,,
ASL Airlines France,183392745.0,"France, Île-de-france, Tremblay-en-france",France,183.392745,,,
Air Antilles,166356172.0,"Guadeloupe, Guadeloupe, Les Abymes, 97139",Guadeloupe,166.356172,,,
VALLJET,79296084.0,"France, Île-de-france, Paris",France,79.296084,,,
Air Moana,43271836.0,"French Polynesia, Îles Du Vent, Papeete, 1 Rue Du Commandant Jean Gilbert, 98713",French Polynesia,43.271836,,,
Trans Guyana Airways,37579116.0,Guyana,Guyana,37.579116,,,
La Compagnie,35000000.0,"France, Île-de-france, Arcueil",France,35.0,,,
Roxel,27213117.0,France,France,27.213117,,,
G-OPS,23285358.0,"France, Île-de-france, Roissy-en-brie, 188 Rue Des Chardonnerets, 926",France,23.285358,,,
Chalair Aviation,21939543.0,"France, Basse-normandie, Carpiquet",France,21.939543,,,
ST BARTH EXECUTIVE,20768022.0,"France, Saint Barthelemy, 97133",France,20.768022,,,
DELTA 2,14602868.0,"France, Candillargues, 34130",France,14.602868,,,
Air Alizé,14423945.0,"New Caledonia, South Province, Noumea, 1 Rue Henri Martinet, 98803",New Caledonia,14.423945,,,
DC Aviation G-OPS,14421219.0,"France, Provence-alpes-côte D'azur, Nice, 06281",France,14.421219,,,
PAN EUROPEENNE AIR SERVICE,13620112.0,"France, Viviers Du Lac, 73420",France,13.620112,,,
Helilagon,13133213.0,"France, Saint Paul, 97460",France,13.133213,,,
Strategic Airlines,11995213.0,France,France,11.995213,,,
EWA AIR,9893860.0,"Mayotte, Pamandzi, Batiment Mas",Mayotte,9.89386,,,
Cargo Airlines Services,8873842.0,"France, Île-de-france, Roissy-en-brie, 229 Rue De La Belle Étoile, 95947",France,8.873842,,,
Air Calédonie,8677297.0,"New Caledonia, South Province, Nouméa, 6 Rue Edouard Unger, 98800",New Caledonia,8.677297,,,
Air Archipels,8178614.0,"French Polynesia, Îles Du Vent, Faaa, 98702",French Polynesia,8.178614,,,
ETOPS AVIATION,7552008.0,"France, Occitanie, Toulouse, 6 Impasse De Lisieux, bp93138",France,7.552008,,,
Global Airline Services,7099074.0,France,France,7.099074,,,
Skyroad International,6922674.0,France,France,6.922674,,,
Air Cargo Trader,6293340.0,France,France,6.29334,,,
GLOBE AIR CARGO France,6287396.0,"France, Île-de-france, Roissy-en-france, 1 Rue Du Pré Batiment, 95700",France,6.287396,,,
Dynami Aviation OPS,6258372.0,"France, Provence-alpes-côte D'azur, Aubagne, 900 Chemin De L'aumône Vieille Bat B2, 13400",France,6.258372,,,
DORMECA Aéro,5823874.0,"France, Nouvelle-aquitaine, Pessac, 28 Avenue De Canteranne, 33600",France,5.823874,,,
Motu Link Airline,5769578.0,"French Polynesia, Îles Du Vent, Papeete, 98713",French Polynesia,5.769578,,,
ST BARTH COMMUTER,5433125.0,"Saint Barthélemy, Aeroport Remy De Haenen",Saint Barthélemy,5.433125,,,
REVOLUTION'AIR,5324305.0,"France, Provence-alpes-côte D'azur, Vitrolles",France,5.324305,,,
VODEA,5215310.0,"France, Labege, 57 Rue De L'innovation, 31670",France,5.21531,,,
HELIFIRST,5034672.0,"France, Île-de-france, Paris, 23 Rue Henry Farman, 75015",France,5.034672,,,
ACS Air Charter Service,4807981.0,France,France,4.807981,,,
MILLESIME Aviation,4732716.0,"France, Nouvelle-aquitaine, Bordeaux",France,4.732716,,,
DreamJet SAS,4405338.0,"France, Île-de-france, Le Bourget, 53 Avenue Jean Jaurès, 93350",France,4.405338,,,
Fairlyne,4231308.0,"France, Île-de-france, Paris",France,4.231308,,,
Procor,4138666.0,"France, Saint Maur Des Fosses, 94100",France,4.138666,,,
Air Pacifique Cargo,3965810.0,"New Caledonia, South Province, Nouméa, 98800",New Caledonia,3.96581,,,
AIRCRAFT COMPLETION ENGINEERING - ACE AERO,3776581.0,"France, Bourgogne-franche-comté, Villeneuve-la-guyard, 8 Rue Antoine-laurent De Lavoisier, 89340",France,3.776581,,,
SkyCenter SAS,3776004.0,"France, Entzheim, 67960",France,3.776004,,,
BACS FRANCE,3776004.0,France,France,3.776004,,,
AFKLM BizTravel,2957947.0,France,France,2.957947,,,
Air Loisirs,2607655.0,"France, Normandy, Boos",France,2.607655,,,
French Blue - Airline,2517336.0,"France, Wissous Cedex, 5 Allée Du Commandant Mouchotte",France,2.517336,,,
Instant'Air,2474204.0,"France, Occitanie, Mauguio",France,2.474204,,,
SOMP PYREMO,2366358.0,"France, Sauvagnon, 8 Rue Des Cigognes, 64230",France,2.366358,,,
Aéronde,2366358.0,"France, Le, 38420",France,2.366358,,,
SERENITY SKY France,2083436.0,France,France,2.083436,,,
ALBATROS Gie,1564593.0,"France, Pays De La Loire, Bouguenais, 9 Rue Du Moulin Cassé, 44340",France,1.564593,,,
Avily,1258668.0,"France, Île-de-france, Puteaux, 20bis Jardin Boieldieu, 92071",France,1.258668,,,
JetsBorder,1195957.0,"France, Nouvelle-aquitaine, Bordeaux, 33000",France,1.195957,,,
MK Partnair,1195957.0,"France, Île-de-france, Paris, 32 Rue De Paradis, 75010",France,1.195957,,,
OXYGENE AIRWAYS,1183179.0,France,France,1.183179,,,
WE CAN CHARTER,1183179.0,"France, Île-de-france, Roissy-en-brie, 188 Rue Des Chardonnerets, 95700",France,1.183179,,,
Tahiti Air Charter,1043062.0,"French Polynesia, Aéroport De Raiatea",French Polynesia,1.043062,,,
PF-OPS GROUP,960654.0,"French Polynesia, Îles Du Vent, Punaauia",French Polynesia,0.960654,,,
SkyPremier,746366.0,"France, Provence-alpes-côte D'azur, Nice, 06700",France,0.746366,,,
Flying Pigs Solutions,629334.0,"France, Arcangues, Chemin De Bordattoa, 64200",France,0.629334,,,
GRIFFON AERO,629334.0,"France, Île-de-france, Paris, 45 Avenue De L'europe, 93350",France,0.629334,,,
Reims Champagne Aviation,629334.0,"France, Prunay, 51360",France,0.629334,,,
LOKAIR,614305.0,"France, Brittany, Domloup",France,0.614305,,,
CONSULTOPS,614305.0,"France, Pays De La Loire, Nantes",France,0.614305,,,
Helisolutions,614305.0,France,France,0.614305,,,
Jetpro,614305.0,France,France,0.614305,,,
FLY ENTERPRISE,614305.0,"France, Brittany, Dol De Bretagne",France,0.614305,,,
Euro-Lowcost,614305.0,France,France,0.614305,,,
Airnet-Services,598717.0,"France, Île-de-france, Charenton-le-pont, 12 Rue Du Président Kennedy, 94220",France,0.598717,,,
Ibn Battuta Solutions,591589.0,"France, Île-de-france, Paris",France,0.591589,,,
AirlinePros France,591589.0,"France, Île-de-france, Paris",France,0.591589,,,
AirGone,591589.0,"France, Auvergne-rhône-alpes, Bron, 1 Avenue Louis Mouillard, 69500",France,0.591589,,,
Exospares,521531.0,"France, Occitanie, Toulouse",France,0.521531,,,
Lekker Concept,521531.0,France,France,0.521531,,,
AZURAVIA,521531.0,"France, Provence-alpes-côte D'azur, Marseille, 180 Avenue Du Prado, 13008",France,0.521531,,,
Dronocop,521531.0,France,France,0.521531,,,
CyclopeTX,521531.0,"France, Auvergne-rhône-alpes, Saint-étienne, 40 Boulevard Valbenoîte, 42100",France,0.521531,,,
Spark Orbital,521531.0,"France, Île-de-france, Paris, 10 Rue Du Général Bertrand, 75007",France,0.521531,,,
